Actual,RNN_Predicted,LSTM_Predicted,ARIMA_Predicted,HW_Predicted
276.589996,283.64377,291.6282,332.3689689512823,361.97183084970425
284.140015,279.48013,286.9004,332.46713688929896,362.1310197608149
290.920013,276.2439,284.16287,332.4358670345989,362.2902086719256
283.359985,294.6973,283.63965,332.30873493798265,362.4493975830363
288.959991,290.53113,282.82422,332.2121074123185,362.60858649414695
289.959991,289.1165,283.50754,332.2395951509732,362.7677754052576
275.429993,299.04758,284.84137,332.36144015881473,362.9269643163683
269.48999,293.98322,283.86484,332.4564724197925,363.086153227479
267.470001,291.93323,281.55173,332.4325515882528,363.24534213858965
273.600006,282.9933,278.642,332.315831971914,363.4045310497003
274.019989,277.9003,276.84335,332.22244338081566,363.563719960811
264.529999,271.92123,275.562,332.24300360918147,363.7229088719217
260.420013,269.68314,273.0879,332.35475691954997,363.88209778303235
267.769989,267.82657,270.09116,332.4464595184463,364.041286694143
274.829987,262.34482,268.61887,332.4290622237617,364.2004756052537
278.619995,276.64832,268.97253,332.32211883065736,364.3596645163643
279.859985,270.61682,270.66394,332.2321388126884,364.518853427475
289.179993,276.85437,273.03467,332.24656247500525,364.67804233858567
285.880005,288.8412,277.1812,332.3488495680098,364.83723124969634
291.809998,294.9836,280.79794,332.4370758151946,364.996420160807
267.779999,300.99915,285.03345,332.4254445902622,365.1556090719177
274.959991,288.23373,284.52805,332.3276630166699,365.31479798302837
273.200012,282.78534,284.08603,332.24121665188716,365.47398689413905
272.309998,276.95883,282.75665,332.2502287853843,365.6331758052497
276.059998,272.24582,280.9754,332.34365272805337,365.7923647163604
268.420013,275.8142,279.78867,332.4282978700862,365.95155362747107
267.700012,287.61447,277.47748,332.4217390784798,366.11074253858175
266.380005,289.60303,275.13162,332.3325278174945,366.2699314496924
273.359985,273.6901,272.79565,332.2497007610284,366.4291203608031
271.230011,276.77625,272.02518,332.2539646117465,366.5883092719138
273.26001,269.57516,271.46448,332.339105162137,366.7474981830244
262.75,278.48413,271.6503,332.4201014668176,366.90668709413507
263.899994,272.0605,270.31656,332.4179812615162,367.06587600524574
258.660004,284.24725,269.12878,332.3367724600294,367.2250649163564
247.630005,262.75055,267.12146,332.25761564529614,367.3842538274671
235.13999900000002,269.89307,263.26135,332.25773663321206,367.54344273857777
241.470001,242.93759,257.22067,332.33514961401687,367.70263164968844
238.69000200000002,248.91718,252.3456,332.41246187214017,367.8618205607991
234.009995,241.40424,247.73938,332.4142023079077,368.0210094719098
244.100006,245.02275,243.2042,332.34045227038223,368.18019838302047
255.029999,235.25153,241.2534,332.2649862090052,368.33938729413114
255.339996,258.36963,242.35179,332.26151573701407,368.4985762052418
247.059998,262.16455,244.6613,332.3317326467806,368.6577651163525
244.839996,258.2321,246.13655,332.405354064022,368.81695402746317
241.979996,261.3895,247.15482,332.4104293679896,368.97614293857384
239.520004,251.69682,247.42136,332.343618837536,369.13533184968446
227.009995,253.81859,246.94855,332.2718375420411,369.2945207607952
232.309998,244.07137,244.04941,332.26527664507995,369.4537096719058
231.949997,245.99075,241.66759,332.32880447787414,369.6128985830165
228.330002,239.3953,239.37056,332.3987529312583,369.77208749412716
211.029999,237.87617,236.78091,332.4066859346391,369.93127640523784
205.36000099999998,218.08315,231.55879,332.34632017926486,370.0904653163485
205.080002,217.66013,225.4071,332.27819473357,370.2496542274592
192.729996,220.07663,219.56747,332.2689975656927,370.40884313856986
195.490005,212.1831,212.43236,332.32631881258584,370.56803204968054
190.630005,214.08086,206.49994,332.39263344705074,370.7272209607912
188.699997,214.45386,200.91324,332.4029921794859,370.8864098719019
189.860001,204.7547,196.14265,332.3486009089304,371.04559878301257
188.220001,200.67416,192.7148,332.28408271058163,371.20478769412324
185.160004,191.91309,190.17136,332.27265986913073,371.3639766052339
178.970001,190.14265,188.08597,332.32423267726625,371.5231655163446
193.600006,189.46585,185.6996,332.3869708189079,371.68235442745527
196.58999600000004,192.26768,186.233,332.39936526569807,371.8415433385659
205.949997,197.7187,188.15146,332.35050240196864,372.00073224967656
204.5,206.07733,192.21559,332.28952609899756,372.15992116078723
212.880005,218.24947,196.43245,332.27624778617997,372.3191100718979
217.10000599999998,208.77238,201.88818,332.3225062533923,372.4782989830086
209.259995,217.04987,207.76227,332.38174061705746,372.63748789411926
213.910004,220.70297,211.71915,332.39581963844904,372.79667680522994
214.919998,216.85692,215.37256,332.352062961036,372.9558657163406
225.029999,225.0816,218.27347,332.2945491052301,373.1150546274513
224.74000499999997,227.60342,222.0457,332.279748128411,373.27424353856196
226.429993,231.15787,225.2301,332.3211027134325,373.43343244967264
219.61999500000002,237.79291,228.03313,332.3769188834075,373.5926213607833
221.860001,225.9717,228.99652,332.39236729417206,373.751810271894
223.639999,232.21649,229.51768,332.35331797892957,373.91099918300466
219.759995,226.79298,229.80171,332.2991754162281,374.07018809411534
219.270004,239.9435,229.09947,332.28315002912035,374.22937700522596
222.839996,225.95638,228.00778,332.3199880593288,374.38856591633663
223.460007,242.28706,227.39322,332.37248222294744,374.5477548274473
